epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,560.119,1.39944,1.2879,1.5003,0.50181,0.76229,0.65603,0.36988,1.54463,1.12608,1.58301,0.00108088,0.00108088,0.00108088
43,571.003,1.38587,1.32209,1.49408,0.4067,0.65489,0.49966,0.28063,1.47686,1.41489,1.5538,0.00107675,0.00107675,0.00107675
44,580.859,1.35393,1.2751,1.46648,0.36276,0.79549,0.53334,0.30303,1.5754,1.30488,1.72204,0.00107263,0.00107263,0.00107263
45,592.2,1.38061,1.23488,1.48791,0.52018,0.75834,0.70655,0.3745,1.65317,1.01248,1.74792,0.0010685,0.0010685,0.0010685
46,603.131,1.39391,1.25441,1.49897,0.53604,0.80485,0.6351,0.35698,1.57268,1.10073,1.64096,0.00106437,0.00106437,0.00106437
47,612.855,1.37212,1.22699,1.48374,0.51479,0.82691,0.62933,0.35767,1.60205,1.07273,1.70773,0.00106025,0.00106025,0.00106025
48,623.767,1.35717,1.2566,1.48112,0.57446,0.82121,0.71241,0.39716,1.58843,1.03613,1.64994,0.00105612,0.00105612,0.00105612
49,634.496,1.37412,1.19704,1.47929,0.71149,0.6552,0.66465,0.35082,1.69338,1.15286,1.75798,0.001052,0.001052,0.001052
50,644.176,1.3709,1.23661,1.48721,0.57636,0.83185,0.70949,0.37801,1.618,1.05808,1.70006,0.00104787,0.00104787,0.00104787
51,654.995,1.35082,1.18952,1.4725,0.48754,0.76321,0.64646,0.36765,1.58776,1.04342,1.66802,0.00104375,0.00104375,0.00104375
52,665.464,1.36491,1.26097,1.47808,0.54304,0.85672,0.73107,0.41452,1.52452,1.09913,1.62055,0.00103962,0.00103962,0.00103962
53,675.007,1.36761,1.22825,1.48563,0.50925,0.76468,0.6382,0.33998,1.63992,1.20626,1.72748,0.0010355,0.0010355,0.0010355
54,685.504,1.33216,1.14865,1.45915,0.50592,0.82193,0.67959,0.39503,1.56505,0.99678,1.63062,0.00103138,0.00103138,0.00103138
55,697.631,1.37514,1.18357,1.48049,0.63515,0.75471,0.68568,0.37378,1.68864,1.02171,1.75516,0.00102725,0.00102725,0.00102725
56,721.535,1.35183,1.14393,1.46037,0.4638,0.65975,0.56994,0.30682,1.56102,1.18791,1.59787,0.00102312,0.00102312,0.00102312
57,733.123,1.31508,1.17136,1.45889,0.41836,0.64913,0.51947,0.27503,1.72073,1.31539,1.93351,0.001019,0.001019,0.001019
